u,v,usage,pop_affected,pop_lost,score
4843010219,10088686434,1729435,1687854,125883,100.0
1424396439,1424396452,1002308,1046936,46652,98.2
1424396334,1424396378,648933,701851,11665,90.20000000000002
4843010219,4843010220,1729220,1608976,494,90.16666666666667
4849317166,11867947557,670112,668137,7591,89.66666666666667
1424396418,1424396452,999956,705980,1240,88.86666666666667
4849317166,4849317167,666518,666442,5712,88.53333333333333
1424396378,1424396418,652676,705594,2714,88.2
1425700513,1425700587,1422919,728907,494,86.76666666666667
11846253996,12749642680,823846,986455,178,84.39999999999999
11846253983,11846253996,823079,985688,178,84.06666666666666
11846253981,11846253983,822317,985339,178,83.73333333333333
1428254388,11846253981,821540,984562,178,83.39999999999999
1428254388,6324858510,821077,983016,178,83.06666666666666
1425700466,1425700513,622839,714868,494,82.83333333333334
1428254433,6324858510,818443,980382,178,82.73333333333333
1428254433,1428254514,817616,979885,178,82.39999999999999
4833992753,4833992757,784592,522172,1288,81.93333333333334
1425700466,3896132362,620212,696806,494,81.9
1424618980,4833992760,783147,520727,1288,80.93333333333334
3896132362,4842928882,619929,593478,494,78.36666666666667
4842928874,4842928882,607726,580310,494,78.03333333333333
4842928874,9612524648,605947,498916,494,74.43333333333332
1425700406,9612524648,605434,498403,494,74.1
1425700390,1425700406,603731,498193,494,73.76666666666667
1425700390,1425700414,602879,496793,494,73.43333333333332
1985586710,2452261017,419915,420781,14743,72.46666666666667
1425700351,1425700378,594473,491178,494,71.89999999999999
1425700351,1425700409,594213,490918,494,71.56666666666668
1425700409,10095121086,593498,488792,494,71.23333333333332
1425700488,10095121086,592605,487899,494,70.9
1425700488,1425700546,592062,487167,494,70.56666666666668
1425700546,1425700548,591669,486963,494,70.23333333333332
1424396334,1832892886,374088,433514,5817,69.19999999999999
1424618922,4834023393,443380,431136,1288,68.8
2452261017,2452261018,419838,420704,2623,68.30000000000001
2452261018,9914252371,419760,420626,2623,67.96666666666667
1428254755,1428254763,1282575,804477,0,64.66666666666667
1428254675,1428254755,1281267,803169,0,64.33333333333333
1425700413,1425700548,540536,483411,393,64.26666666666667
7114067470,9914252371,320909,316652,12309,63.56666666666667
7114067470,13255777106,317802,313677,12309,62.30000000000001
1428254675,1428254710,1147880,654384,0,61.6
3805731623,13255777106,317290,313076,7845,61.133333333333326
1428213736,1428254710,811195,654066,0,60.06666666666667
1425700310,10095265307,318318,299126,2743,59.066666666666656
10277173471,10277173475,673236,641932,0,58.80000000000001
10277173471,10277173473,673072,640792,0,58.46666666666667
1431135625,10277173473,667435,640554,0,58.00000000000001
10095265307,12231364923,318157,249157,2878,57.266666666666666
1425700310,1425700318,318576,299384,1105,56.400000000000006
1832892886,10130815858,366569,426678,78,56.333333333333336
4833992744,4833992753,538851,799937,0,55.2
12231297622,12231364923,316353,247353,1453,55.00000000000001
4833992740,4833992744,538553,797642,0,54.86666666666666
4833992757,4833992761,783838,521418,0,54.6
4833992740,4833992743,538032,797121,0,54.53333333333333
1425700638,1425700643,590082,632046,0,54.46666666666666
4833992760,4833992761,783536,521116,0,54.266666666666666
4833992743,11721999395,537544,796633,0,54.2
1425700643,4843023757,587505,631660,0,54.13333333333333
1425700661,4843023757,587226,631381,0,53.800000000000004
1425700661,4843023767,585681,631113,0,53.46666666666666
1425700667,4843023767,585419,630851,0,53.13333333333333
1428213736,10003353133,810350,495521,0,52.93333333333333
1425700667,4843023765,585029,630461,0,52.800000000000004
1425700675,4843023765,584306,630075,0,52.46666666666666
1425700675,1425700725,584041,629810,0,52.13333333333333
1425700580,1425700725,583717,629486,0,51.800000000000004
1425700301,1425700413,490682,181160,65,51.06666666666667
1428254514,1428254590,569771,563119,0,51.06666666666666
1428254582,1428254590,565020,559969,0,50.73333333333333
1428254582,1428254643,562490,556068,0,50.4
